region_name,Gini_coeff,GDP_percap_current_prices,ATM_universal,ATM_thrift,ATM_rural,Population,Land_area,MICRO_est,SMALL_est,MEDIUM_est,total_MSMEs,LARGE_est,MICRO_emp,SMALL_emp,MEDIUM_emp,MSMEs_emp,LARGE_emp,HH_number,HH_pop,Median_family_income,HH_refrigerator,HH_stove,HH_microwave,HH_washer,HH_air_conditioning,HH_fan_cooling,HH_radio,HH_television,HH_disc_player,HH_audio_equipment,HH_landline_phone,HH_mobile_phone,HH_tablet,HH_personal_computer,HH_motor_vehicle,HH_motorcycle,HH_bicycle,HH_motor_boat,HH_nonmotor_boat,HH_with_internet,HH_wired_BB,HH_wireless_bb,HH_satellite_bb,hh_mobile_bb,HH_use_internet_home,HH_use_internet_work,HH_use_internet_school,HH_use_internet_otherhome,HH_use_internet_public_place,HH_use_internet_cafe,HH_use_internet_private_est,HH_use_internet_in_mobility
NCR,0.3259,440885.4576,7774,520,26,13484462,619.54,170146,26896,1610,198652,1902,504393,648842,219172,1372407,1396905,3499652,13403551,125436.46,2059241,1824794,690984,2219881,1023385,3216756,1131973,2934890,1128835,717094,639867,2821104,1274785,1073449,571006,863723,511883,82248,42262,2605190,1046757,235209,113589,1775175,2707672,1361832,774461,225276,222490,104454,163541,1175721
CAR,0.4191,177692.7115,297,11,10,1797660,19818.12,21195,1270,28,22493,47,50757,25968,3802,80527,25976,439166,1791121,11470.47,212510,128936,52705,216642,11180,178631,204224,323819,84640,45321,34710,389092,82865,117394,75844,133520,22302,1857,2733,275777,63094,13700,5059,223513,275840,91149,78625,19776,28969,8928,12258,75419
REGION I,0.4015,121230.6184,671,83,51,5301139,12964.62,54207,3615,107,57929,60,145676,76573,14377,236626,21047,1306256,5292297,28978.88,713213,475532,132461,621478,190592,1190353,661251,1108221,204820,141159,88980,1132000,242116,246569,153233,695632,271146,20166,17498,725144,167812,48045,27721,562886,762804,217956,184245,64276,56713,22645,28887,256994
REGION II,0.4201,108294.4842,427,39,43,3685744,29836.88,30947,2034,57,33038,34,84704,42128,7274,134106,15717,907472,3679748,18245.72,388949,333403,78638,423151,101306,772544,420188,707883,164893,126385,54629,768334,154733,168105,109342,521710,150255,12079,11000,495485,94247,30481,22359,400513,510009,129184,122780,38479,35868,9271,16027,156559
REGION III,0.3619,164804.3057,1938,230,74,12422172,21906.19,127333,9925,419,137677,355,348304,221224,56091,625619,229842,3040488,12387811,80694.12,1620234,1611839,464579,1993071,766955,2811027,1124828,2659540,634803,485443,284517,2649982,682875,686296,448883,1576648,534326,55954,46347,1893735,560245,153895,80409,1314085,1875929,651612,506132,158471,136480,54840,76944,567752
REGION IV,0.3773,170281.3136,2984,332,106,16195042,16576.26,146034,12671,672,159377,728,405607,295017,91444,792068,501764,4062720,16139770,118461.02,2432359,1893776,691865,2522761,870839,3763663,1500273,3518098,1021414,804970,620627,3658076,987447,1078424,660597,1539656,544658,63612,58203,2849422,927771,212177,101901,1984939,2898662,1132055,781147,190641,163246,72495,98848,1204716
MIMAROPA,0.4193,119142.2202,291,37,23,3228558,29606.25,21562,1659,42,23263,22,59753,34826,5526,100105,9222,792875,3212287,14221.78,236455,169789,44705,283187,54680,540238,207506,493789,115877,105679,23453,631383,85098,108991,45092,380171,83699,57805,27138,412750,38110,15709,16535,373643,419871,97871,100000,27260,37938,7927,14731,178975
REGION V,0.41,91174.56895,593,80,46,6082165,18114.47,41885,3228,121,45234,78,115678,68369,16472,200519,29191,895899,3862588,23919.28,402997,372612,91421,380416,114297,1053997,718031,946089,271784,183566,54707,1098887,173934,200986,82379,505320,167883,53939,32899,666714,116979,35125,27890,543808,659212,158286,160120,54852,56780,33303,25182,256247
REGION VI,0.4283,117559.0151,960,102,89,7954723,20778.29,67598,5662,255,73515,200,192055,120827,34606,347488,98472,1365044,6067290,22002.47,781785,453386,150458,476647,216451,1483767,1043365,1389986,495039,289901,139641,1545742,279964,284511,174340,719574,158354,50277,32510,994105,174267,57061,43368,829867,955394,277992,216602,71646,94361,45892,47011,401486
REGION VII,0.4344,153668.5262,1523,203,40,8081988,15872.58,69488,7798,412,77698,496,197017,180641,55410,433068,339048,1939989,7935531,34441.05,800734,609890,172397,443053,290234,1390958,988769,1340993,637523,404333,210802,1593095,301763,350761,211805,850255,228644,50820,44687,1004341,230272,74800,51917,792294,1003385,303122,210193,87836,101603,68605,51982,482016
REGION VIII,0.4531,93707.07976,411,23,20,4547150,23234.78,32718,2473,67,35258,34,91563,52723,8726,153012,12893,1966588,8046285,18193.64,334552,306099,61985,244437,92429,780422,562818,733215,297887,193065,45273,818967,129338,144273,64412,394847,124386,54337,32737,548752,74464,26560,25445,479258,541712,114563,92733,45567,61890,23012,22779,251245
REGION IX,0.405,112377.5735,381,26,23,3875576,16904.03,32150,2315,76,34541,57,85426,48746,10533,144705,23562,1082106,4531512,14920,304832,153312,48446,177910,82969,489096,402629,534787,151965,101314,44604,680776,109553,106444,64227,365674,35625,38314,33785,255484,58909,18125,13618,194568,251985,70526,53656,18580,22761,11620,10065,158915
REGION X,0.4128,186989.9073,627,31,35,5022768,20458.51,35088,3712,150,38950,139,99128,81278,20375,200781,67424,1197736,5007798,21521.8,490202,288252,78259,320680,123666,635270,581286,813362,340224,202291,90214,859911,232417,168164,117900,436464,108517,21834,16366,469875,105973,34939,17565,361029,494916,149206,107823,39286,40520,35924,22458,208983
REGION XI,0.4071,180058.6021,718,59,109,5243536,20433.38,55136,4950,221,60307,218,155963,112537,30358,298858,125456,1337781,5223802,28274.39,632177,379266,105801,403843,195604,890956,662822,918088,350499,235726,116370,969179,248166,213679,138674,563515,154230,29374,22717,585951,146045,51042,34322,431254,576876,196294,133198,67647,66803,65698,43327,262991
REGION XII,0.4181,113617.4283,450,16,44,4901486,22786.08,44732,3067,129,47928,103,125233,67163,17343,209739,61579,1065453,4351773,18714.48,407058,200873,62109,298176,97009,667960,527168,698728,138910,109953,49536,843803,126721,137429,86977,546866,86028,14571,14512,499153,84967,27741,21977,420328,494490,131494,98365,44586,48061,43430,27338,207630
REGION XIII,0.4474,119277.5747,270,32,44,2804788,21120.56,20783,1615,64,22462,52,58839,34690,9071,102600,23145,661773,2795340,10800.05,254865,153199,32711,201884,75165,384998,269279,434761,126610,98374,33975,523543,73619,87610,45054,282884,48764,26460,18321,263250,51680,16362,10294,207807,245022,62704,53642,21457,22253,21638,9765,143885
BARMM,0.2764,59035.58072,60,2,0,4404288,36650.95,7610,340,7,7957,6,21645,6967,891,29503,2604,832908,4938539,13295.92,124087,87774,26138,86871,28930,298112,294838,396178,122590,41770,28275,575847,118743,49725,54005,228326,42924,74614,65450,249462,26950,12103,16245,215451,182149,54382,36666,22942,33455,15430,16570,112337
